ministry,releases_6y_total,releases_2021,releases_2022,releases_2023,releases_2024,releases_2025,releases_2026,releases_90d,latest_release_date,latest_release_title,matched_org,contact_name,designation,phones,email
Ministry of Skill Development and Entrepreneurship,707,84,115,67,103,154,184,61,2026-07-30,Strengthening Human-Centric Skill,Ministry of Skill Development and Entrepreneurship,Ms. Debashree Mukherjee,Secretary,"26773005, 26773332",secy-msde@nic.in
Ministry of New and Renewable Energy,693,77,119,190,134,110,63,19,2026-08-01,Cabinet approves 'Pradhan Mantri Surya Sarovar Yojana (PM-SSY)' for Development of Floating Solar Photovoltaic Projects with Energy Storage Systems with a total,Ministry of New and Renewable Energy,Shri Shripad Yesso Naik,Minister of State,,mos-mnre@gov.in
Ministry of New and Renewable Energy,693,77,119,190,134,110,63,19,2026-08-01,Cabinet approves 'Pradhan Mantri Surya Sarovar Yojana (PM-SSY)' for Development of Floating Solar Photovoltaic Projects with Energy Storage Systems with a total,Ministry of New and Renewable Energy,Shri Pralhad Joshi,Minister,,minister.mnre@gov.in
Ministry of New and Renewable Energy,693,77,119,190,134,110,63,19,2026-08-01,Cabinet approves 'Pradhan Mantri Surya Sarovar Yojana (PM-SSY)' for Development of Floating Solar Photovoltaic Projects with Energy Storage Systems with a total,Ministry of New and Renewable Energy,Shri Santosh Kumar Sarangi,Secretary,20849010,secy-mnre@nic.in
Ministry of Statistics & Programme Implementation,689,56,61,88,122,218,144,47,2026-07-30,Release of Sub-Sectoral Trial Index of Services Production (ISP) for May 2026 (Base Year 2024–25),Ministry of Statistics and Programme Implementation,Shri Rao Inderjit Singh,Minister of State (Independent Charge),"23340884, 23367245, 24643265",minister.spi@nic.in
Ministry of Statistics & Programme Implementation,689,56,61,88,122,218,144,47,2026-07-30,Release of Sub-Sectoral Trial Index of Services Production (ISP) for May 2026 (Base Year 2024–25),Ministry of Statistics and Programme Implementation,Shri Saurabh Garg,Secretary,"23742150, 23344689",secretary@mospi.gov.in
Ministry of Civil Aviation,657,143,164,149,72,72,57,20,2026-07-30,Minister Ram Mohan Naidu reviews India’s preparedness for SAF and CORSIA implementation,Ministry of Civil Aviation,Shri Murlidhar Mohol,Minister of State,"24603846, 24626001",mos.moca@gov.in
Ministry of Civil Aviation,657,143,164,149,72,72,57,20,2026-07-30,Minister Ram Mohan Naidu reviews India’s preparedness for SAF and CORSIA implementation,Ministry of Civil Aviation,Shri Kinjarapu Rammohan Naidu,Minister,"24610350, 24632991",hm.moca@gov.in
Ministry of Civil Aviation,657,143,164,149,72,72,57,20,2026-07-30,Minister Ram Mohan Naidu reviews India’s preparedness for SAF and CORSIA implementation,Ministry of Civil Aviation,Shri Samir Kumar Sinha,Secretary,24610368,secy.moca@nic.in
Election Commission,625,80,86,48,116,207,88,15,2026-07-17,ECI Organises first All India Media Conference,,,,,
Ministry of Cooperation,625,10,56,116,112,173,158,55,2026-07-30,MSCS IN WEST BENGAL,Ministry of Cooperation,Shri Krishan Pal,Minister of State,,
Ministry of Cooperation,625,10,56,116,112,173,158,55,2026-07-30,MSCS IN WEST BENGAL,Ministry of Cooperation,Shri Murlidhar Mohol,Minister of State,,
Ministry of Cooperation,625,10,56,116,112,173,158,55,2026-07-30,MSCS IN WEST BENGAL,Ministry of Cooperation,Shri Amit Shah,Minister,"20849035, 20849036",pstohm-cm@gov.in
Ministry of Mines,580,82,103,118,120,117,40,17,2026-08-01,Geological Survey of India Gets Its First Woman Director General,Ministry of Mines,Shri Satish Chandra Dubey,Minister of State,"011-26773878, 011-23070522",mos-mines@gov.in
Ministry of Mines,580,82,103,118,120,117,40,17,2026-08-01,Geological Survey of India Gets Its First Woman Director General,Ministry of Mines,Shri G. Kishan Reddy,Minister,"011-26773670, 011-26773671",minister.mines@gov.in
Ministry of Mines,580,82,103,118,120,117,40,17,2026-08-01,Geological Survey of India Gets Its First Woman Director General,Ministry of Mines,Shri Piyush Goyal,Secretary,011-26773601,secy-mines@nic.in
Ministry of Chemicals and Fertilizers,530,153,122,72,78,86,19,3,2026-07-25,Cabinet approves scheme of Chemical Parks “Bharat Audyogik Vikas Yojana Rasayan (BHAVYA Rasayan),Ministry of Chemicals and Fertilizers,Smt. Anupriya Patel,Minister of State,"23381768, 23383686",mos-cf@gov.in
Ministry of Chemicals and Fertilizers,530,153,122,72,78,86,19,3,2026-07-25,Cabinet approves scheme of Chemical Parks “Bharat Audyogik Vikas Yojana Rasayan (BHAVYA Rasayan),Ministry of Chemicals and Fertilizers,Shri Jagat Prakash Nadda,Minister,"24014850, 24014781",min-cnf@gov.in
Ministry of Panchayati Raj,530,58,87,64,100,109,112,40,2026-08-01,Union Minister of State Prof. S.P. Singh Baghel Releases “51 Stories of Panchayats Bringing Change for Good Governance” Compendium in New Delhi,Ministry of Panchayati Raj,Prof. S. P. Singh Baghel,Minister of State,"23782143, 23782518",mos-mopr@gov.in
Ministry of Panchayati Raj,530,58,87,64,100,109,112,40,2026-08-01,Union Minister of State Prof. S.P. Singh Baghel Releases “51 Stories of Panchayats Bringing Change for Good Governance” Compendium in New Delhi,Ministry of Panchayati Raj,Shri Rajiv Ranjan Singh alias Lalan Singh,Minister,"23380780, 23380781",min-mopr@gov.in
Ministry of Panchayati Raj,530,58,87,64,100,109,112,40,2026-08-01,Union Minister of State Prof. S.P. Singh Baghel Releases “51 Stories of Panchayats Bringing Change for Good Governance” Compendium in New Delhi,Ministry of Panchayati Raj,Shri Vivek Bhardwaj,Secretary,23389008,secy-mopr@nic.in
Ministry of Development of North-East Region,526,123,125,102,60,75,41,15,2026-07-28,Union Minister Shri Jyotiraditya M. Scindia Chairs Parliamentary Consultative Committee Meeting on MDoNER's Flagship USP Initiative,Ministry of Development of North Eastern Region,Shri Sukanta Majumdar,Minister of State,21410716,sukanta.majumdar@sansad.nic.in
Ministry of Development of North-East Region,526,123,125,102,60,75,41,15,2026-07-28,Union Minister Shri Jyotiraditya M. Scindia Chairs Parliamentary Consultative Committee Meeting on MDoNER's Flagship USP Initiative,Ministry of Development of North Eastern Region,Shri Jyotiraditya M. Scindia,Minister,"21411729, 23739191",min-mdoner@gov.in
Ministry of Development of North-East Region,526,123,125,102,60,75,41,15,2026-07-28,Union Minister Shri Jyotiraditya M. Scindia Chairs Parliamentary Consultative Committee Meeting on MDoNER's Flagship USP Initiative,Ministry of Development of North Eastern Region,Ms. Nivedita Shukla Verma,Secretary,21411140,secydoner@nic.in
Competition Commission of India,525,81,80,62,101,128,73,31,2026-07-29,"CCI approves amalgamation of Go Digit Infoworks Services, holding company of Go Digit General Insurance Ltd, with Go Digit General Insurance Ltd, such that Go D",,,,,
Ministry of Minority Affairs,522,107,98,46,85,144,42,18,2026-07-28,INSTITUTIONAL OUTREACH BY THE NATIONAL COMMISSION FOR MINORITIES,Ministry of Minority Affairs,Shri Kiren Rijiju,Minister,"24360585, 24360586",minister-moma@nic.in
Ministry of Minority Affairs,522,107,98,46,85,144,42,18,2026-07-28,INSTITUTIONAL OUTREACH BY THE NATIONAL COMMISSION FOR MINORITIES,Ministry of Minority Affairs,Shri Srivatsa Krishna,Secretary,24364272,secy-mma@nic.in
NITI Aayog,494,99,100,84,55,93,63,23,2026-07-17,NITI Aayog released a report on “Investment Friendliness Index”,,,,,
Cabinet,454,106,77,72,99,60,40,17,2026-08-01,"Cabinet approves 'Samudra Manthan' (National Offshore Exploration Scheme) with an outlay of Rs.84,084 crore",,,,,
Ministry of Heavy Industries,431,36,56,60,92,108,79,24,2026-07-30,Pre-bid conference organised by Ministry of Heavy Industries (MHI) for selection of beneficiary firms under PLI ACC Scheme for setting up Advanced Chemistry Cel,Ministry of Heavy Industries,Shri Bhupathi Raju Srinivasa Varma,Minister of State,"23062676, 23062678",
Ministry of Heavy Industries,431,36,56,60,92,108,79,24,2026-07-30,Pre-bid conference organised by Ministry of Heavy Industries (MHI) for selection of beneficiary firms under PLI ACC Scheme for setting up Advanced Chemistry Cel,Ministry of Heavy Industries,Shri H. D. Kumaraswamy,Minister,"23063598, 23061339",
Ministry of Heavy Industries,431,36,56,60,92,108,79,24,2026-07-30,Pre-bid conference organised by Ministry of Heavy Industries (MHI) for selection of beneficiary firms under PLI ACC Scheme for setting up Advanced Chemistry Cel,Ministry of Heavy Industries,Shri Kamran Rizvi,Secretary,"23063633, 23061854",shioff@nic.in
Ministry of Food Processing Industries,414,68,69,60,54,102,61,15,2026-07-31,Progress under PMKSY,Ministry of Food Processing Industries,Shri Ravneet Singh,Minister of State,"26491254, 26491256",mos-fpi@nic.in
Ministry of Food Processing Industries,414,68,69,60,54,102,61,15,2026-07-31,Progress under PMKSY,Ministry of Food Processing Industries,Shri Chirag Paswan,Minister,"26493889, 26493890",minister.fpi@nic.in
Ministry of Food Processing Industries,414,68,69,60,54,102,61,15,2026-07-31,Progress under PMKSY,Ministry of Food Processing Industries,Shri A. P. Das Joshi,Secretary,"26493225, 26492431",secy.mofpi@nic.in
Ministry of Corporate Affairs,356,70,44,59,54,87,42,15,2026-07-30,"Corporate Mitra Scheme Awareness Webinar organized by IICA Shillong, Ministry of Corporate Affairs witnessing overwhelming participation of youth and enterprise",Ministry of Corporate Affairs,Shri Harsh Malhotra,Minister of State,"24014101, 24014102",mos-mcas@gov.in
Ministry of Corporate Affairs,356,70,44,59,54,87,42,15,2026-07-30,"Corporate Mitra Scheme Awareness Webinar organized by IICA Shillong, Ministry of Corporate Affairs witnessing overwhelming participation of youth and enterprise",Ministry of Corporate Affairs,Smt. Nirmala Sitharaman,Minister,24012101,fmo@nic.in
Ministry of Corporate Affairs,356,70,44,59,54,87,42,15,2026-07-30,"Corporate Mitra Scheme Awareness Webinar organized by IICA Shillong, Ministry of Corporate Affairs witnessing overwhelming participation of youth and enterprise",Ministry of Corporate Affairs,Ms. Deepti Gaur Mukerjee,Secretary,"24014001, 24014002",secy.mca@nic.in
UPSC,317,56,49,48,49,65,50,26,2026-07-25,Direct Recruitment to various posts in Government of India,,,,,
Department of Space,288,34,44,50,33,77,50,12,2026-07-31,PARLIAMENT QUESTION: GLOBAL COMPETITIVENESS OF INDIA’S SPACE PROGRAMME,Department of Space,Dr. Jitendra Singh,Minister of State,,
Department of Space,288,34,44,50,33,77,50,12,2026-07-31,PARLIAMENT QUESTION: GLOBAL COMPETITIVENESS OF INDIA’S SPACE PROGRAMME,Department of Space,Shri Narendra Modi,Prime Minister,,
Department of Space,288,34,44,50,33,77,50,12,2026-07-31,PARLIAMENT QUESTION: GLOBAL COMPETITIVENESS OF INDIA’S SPACE PROGRAMME,Department of Space,Dr. V. Narayanan,Secretary,,
Lok Sabha Secretariat,274,0,0,0,27,158,89,28,2026-07-15,"LOK SABHA SPEAKER DEFINES LEGISLATURES AS ‘SCHOOLS OF DEMOCRACY’ WHERE LAWMAKERS LEARN VALUES OF DIALOGUE, CONSENSUS, AND SERVICE",,,,,
Department of Atomic Energy,269,18,33,26,23,86,83,21,2026-07-31,PARLIAMENT QUESTION: CANCER CARE FACILITIES,Department of Atomic Energy,Dr. Jitendra Singh,Minister of State,,
Department of Atomic Energy,269,18,33,26,23,86,83,21,2026-07-31,PARLIAMENT QUESTION: CANCER CARE FACILITIES,Department of Atomic Energy,Shri Narendra Modi,Prime Minister,,
Department of Atomic Energy,269,18,33,26,23,86,83,21,2026-07-31,PARLIAMENT QUESTION: CANCER CARE FACILITIES,Department of Atomic Energy,Shri Ajit K. Mohanty,Secretary,22022543,chairman@dae.gov.in
National Human Rights Commission,254,0,0,0,57,149,48,20,2026-07-13,"NHRC, India takes suo motu cognizance of the reported death of three workers and injuries to several others in an explosion at a factory situated in the Urla in",,,,,
Ministry of Parliamentary Affairs,220,11,21,48,38,67,35,15,2026-07-30,Ministry of Parliamentary Affairs Organizes Youth Parliament Programme to Strengthen Democratic Awareness,Ministry of Parliamentary Affairs,Shri Arjun Ram Meghwal,Minister of State,"011-23083523, 011-23083607, 011-23011770",ar.meghwal@sansad.nic.in
Ministry of Parliamentary Affairs,220,11,21,48,38,67,35,15,2026-07-30,Ministry of Parliamentary Affairs Organizes Youth Parliament Programme to Strengthen Democratic Awareness,Ministry of Parliamentary Affairs,Dr. L. Murugan,Minister of State,"011-23083942, 011-23083943",mos-rsmpa@gov.in
Ministry of Parliamentary Affairs,220,11,21,48,38,67,35,15,2026-07-30,Ministry of Parliamentary Affairs Organizes Youth Parliament Programme to Strengthen Democratic Awareness,Ministry of Parliamentary Affairs,Shri Kiren Rijiju,Minister,"011-23083920, 011-23018729",minister-mopa@gov.in
Cabinet Committee on Economic Affairs (CCEA),185,34,28,24,22,40,37,19,2026-07-25,"Cabinet approves one multitracking project covering three Districts across Karnataka and Andhra Pradesh, increasing the existing network of Indian Railways by a",,,,,
Ministry of Chemicals and Fertilizers - Department of Pharmaceuticals,152,0,0,0,0,28,124,32,2026-08-01,Domestic Pharmaceutical Manufacturers,Ministry of Chemicals and Fertilizers,Smt. Anupriya Patel,Minister of State,"23381768, 23383686",mos-cf@gov.in
Ministry of Chemicals and Fertilizers - Department of Pharmaceuticals,152,0,0,0,0,28,124,32,2026-08-01,Domestic Pharmaceutical Manufacturers,Ministry of Chemicals and Fertilizers,Shri Jagat Prakash Nadda,Minister,"24014850, 24014781",min-cnf@gov.in
Office of Principal Scientific Advisor to GoI,130,17,16,15,30,35,17,5,2026-07-10,Technology Advisory Group (TAG) of Empowered Technology Group (ETG) meets to discuss A Strategic Roadmap for India’s Telecom Sector and establishing a dedicated,,,,,
Rajya Sabha Secretariat,64,0,0,0,0,1,63,16,2026-07-26,"Shri Harivansh, Hon’ble Deputy Chairman, Rajya Sabha delivered the valedictory speech at the two-day orientation workshop ‘Prarambh’ for newly-elected members o",,,,,
Special Service and Features,59,5,17,19,11,7,0,0,2025-11-29,Special Inaugural train for KTS 4.0 begins its journey from Kanniyakumari with 216 delegates,,,,,
Ministry of Chemicals and Fertilizers - Department of Fertilizers,54,0,0,0,0,3,51,13,2026-07-29,Government Promotes Indigenous Potash Production and Alternative Nutrient Sources to Reduce Import Dependence,Ministry of Chemicals and Fertilizers,Smt. Anupriya Patel,Minister of State,"23381768, 23383686",mos-cf@gov.in
Ministry of Chemicals and Fertilizers - Department of Fertilizers,54,0,0,0,0,3,51,13,2026-07-29,Government Promotes Indigenous Potash Production and Alternative Nutrient Sources to Reduce Import Dependence,Ministry of Chemicals and Fertilizers,Shri Jagat Prakash Nadda,Minister,"24014850, 24014781",min-cnf@gov.in
IFSC Authority,39,9,21,7,2,0,0,0,2024-07-02,Expert Committee on Climate Finance submits First Report on Transition Finance to IFSCA,,,,,
Ministry of External Affairs,37,5,16,14,0,2,0,0,2025-03-09,"India’s Legacy in UN Peacekeeping: Leadership, Commitment, and Sacrifice",Ministry of External Affairs,Shri Kirtivardhan Singh,Minister of State,"23011141, 23014070",mosvmo@mea.gov.in
Ministry of External Affairs,37,5,16,14,0,2,0,0,2025-03-09,"India’s Legacy in UN Peacekeeping: Leadership, Commitment, and Sacrifice",Ministry of External Affairs,Shri Pabitra Margherita,Minister of State,"23086789, 23017763",mos.pm@mea.gov.in
Ministry of External Affairs,37,5,16,14,0,2,0,0,2025-03-09,"India’s Legacy in UN Peacekeeping: Leadership, Commitment, and Sacrifice",Ministry of External Affairs,Dr. Subrahmanyam Jaishankar,Minister,"23011127, 23011165",eam@mea.gov.in
National Financial Reporting Authority,34,9,9,4,2,6,4,1,2026-06-19,NFRA and ICAI collaborate to organise a workshop on “Creating a Better Financial Reporting Ecosystem” at Pune,,,,,
National Security Council Secretariat,25,1,7,6,5,6,0,0,2025-11-25,Fourth BIMSTEC Experts Group Meeting on Maritime Security Cooperation Concludes in New Delhi,,,,,
,23,0,0,0,0,1,22,20,2026-07-16,India's First Hydrogen-Powered Train: Advancing Green Rail Mobility,,,,,
Cabinet Secretariat,23,6,2,7,4,3,1,0,2026-01-02,PRAGATI @ 50: Institutionalizing Proactive and Tech-Enabled Governance,,,,,
Ministry of Chemicals and Fertilizers - Department of Chemicals and Petrochemicals,16,0,0,0,0,4,12,4,2026-07-02,"3rd Global Conclave on Plastic Recycling and Sustainability (GCPRS) begins at Bharat Mandapam, New Delhi",Ministry of Chemicals and Fertilizers,Smt. Anupriya Patel,Minister of State,"23381768, 23383686",mos-cf@gov.in
Ministry of Chemicals and Fertilizers - Department of Chemicals and Petrochemicals,16,0,0,0,0,4,12,4,2026-07-02,"3rd Global Conclave on Plastic Recycling and Sustainability (GCPRS) begins at Bharat Mandapam, New Delhi",Ministry of Chemicals and Fertilizers,Shri Jagat Prakash Nadda,Minister,"24014850, 24014781",min-cnf@gov.in
EAC-PM,10,3,6,1,0,0,0,0,2023-02-24,The Foundational Literacy and Numeracy Report submitted to EAC-PM by IFC released by Dr Bibek Debroy in the India dialog conference,,,,,
Lokpal of India,9,0,0,0,1,7,1,0,2026-01-26,77th Republic Day was celebrated in Lokpal of India with great fervor and enthusiasm,,,,,
"Ministry of Water Resources, River Development and Ganga Rejuvenation",3,0,2,0,1,0,0,0,2024-02-21,Cabinet approves Flood Management and Border Areas Programme (FMBAP) for the period 2021-26,"Department of Water Resources, River Development and Ganga Rejuvenation",Shri V. Somanna,Minister of State,24368618,mosoffice-mdws@nic.in
"Ministry of Water Resources, River Development and Ganga Rejuvenation",3,0,2,0,1,0,0,0,2024-02-21,Cabinet approves Flood Management and Border Areas Programme (FMBAP) for the period 2021-26,"Department of Water Resources, River Development and Ganga Rejuvenation",Shri Raj Bhushan Choudhary,Minister of State,23718759,mos-mowr@nic.in
"Ministry of Water Resources, River Development and Ganga Rejuvenation",3,0,2,0,1,0,0,0,2024-02-21,Cabinet approves Flood Management and Border Areas Programme (FMBAP) for the period 2021-26,"Department of Water Resources, River Development and Ganga Rejuvenation",Shri C R Patil,Minister,23714200,minister-jalshakti@gov.in
Ministry of Company Affairs,2,0,2,0,0,0,0,0,2022-08-18,Ministry of Corporate Affairs announces winners and honourable mentions for National CSR Awards 2020,Ministry of Home Affairs,Shri Nityanand Rai,Minister of State,"23092870, 23092595",
Ministry of Company Affairs,2,0,2,0,0,0,0,0,2022-08-18,Ministry of Corporate Affairs announces winners and honourable mentions for National CSR Awards 2020,Ministry of Home Affairs,Shri Bandi Sanjay Kumar,Minister of State,"23092073, 23094054",
Ministry of Company Affairs,2,0,2,0,0,0,0,0,2022-08-18,Ministry of Corporate Affairs announces winners and honourable mentions for National CSR Awards 2020,Ministry of Home Affairs,Shri Amit Shah,Minister,"23092462, 23094686",
Finance Commission,1,1,0,0,0,0,0,0,2021-02-01,The Report of the Fifteenth Finance Commission,,,,,
Ministry of Agro & Rural Industries,1,0,0,0,0,0,1,1,2026-07-01,"Union Minister Shri Shivraj Singh Chouhan reaches Arunachal Pradesh; aerial survey deferred due to bad weather, to spend Tuesday among flood-affected families a",,,,,
